1998 4
1999 55
2000 402
2001 546
2002 1093
2003 2001
2004 1762
2005 1537
2006 1138
2007 2448
2008 4350
2009 3310
2010 3224
2011 3153
2012 4000
2013 5150
2014 3978
2015 373
